Cop-Son,Cop-Art,Cop-Alb,Cop-Gen,Cop-Pri,Cop-Tim,Cop-Rel
1.5575618743896484,2.5613250732421875,1.9294377565383911,2.8152341842651367,1.9665758609771729,1.4496957063674927,2.8282454013824463
4.571506977081299,6.830667972564697,5.413549900054932,7.068606853485107,5.868607997894287,3.0373685359954834,6.878948211669922
2.3066136837005615,3.2247307300567627,2.5674924850463867,3.3545496463775635,2.7733826637268066,2.2356581687927246,3.336186170578003
1.7594650983810425,2.8123722076416016,2.131402015686035,3.020646572113037,2.271291732788086,1.7296942472457886,3.0796711444854736
2.805891990661621,6.713195323944092,5.11370325088501,7.036890983581543,5.1243743896484375,2.7301788330078125,6.8547587394714355
2.8716766834259033,6.85577392578125,4.7768354415893555,7.22827672958374,5.134160995483398,2.763777017593384,7.082230567932129
1.293406367301941,2.419365882873535,1.627309799194336,2.612328052520752,1.7444061040878296,1.3105850219726562,2.7779271602630615
1.4966959953308105,2.5053539276123047,1.8555759191513062,2.7652270793914795,1.917589545249939,1.4160126447677612,2.8110594749450684
2.6821751594543457,6.350300312042236,5.025025844573975,6.68056058883667,3.03735089302063,2.540745735168457,6.464255332946777
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0903658866882324,3.1028523445129395,2.41256046295166,3.262972831726074,2.626037836074829,2.0880589485168457,3.295952320098877
2.5876104831695557,6.264240741729736,4.634562015533447,6.615157604217529,4.955977916717529,2.443207025527954,6.406676769256592
1.0593827962875366,1.9524776935577393,1.3865771293640137,2.1551413536071777,1.3621467351913452,0.9835214614868164,2.217200517654419
1.3722025156021118,2.3350107669830322,1.6973978281021118,2.5067057609558105,1.733394980430603,1.3213716745376587,2.5731821060180664
1.4691236019134521,2.3047680854797363,1.7815769910812378,2.526655673980713,1.7040228843688965,1.2599258422851562,2.4076361656188965
5.1736226081848145,7.766242027282715,6.080690860748291,7.918492317199707,7.085207462310791,5.31076717376709,7.9233479499816895
1.974504828453064,3.0771689414978027,2.329453706741333,3.271148443222046,2.534721612930298,1.9686923027038574,3.314321279525757
1.73495614528656,2.8136959075927734,2.106168746948242,3.024661064147949,2.23283052444458,1.7115676403045654,3.1011087894439697
1.999776005744934,3.108346700668335,2.346193552017212,3.303145170211792,2.5782132148742676,1.99493408203125,3.345001697540283
2.109417200088501,5.209568500518799,2.463799238204956,5.897372722625732,2.6937053203582764,1.9712432622909546,5.761979579925537
2.1890439987182617,3.1095402240753174,2.478119373321533,3.2767159938812256,2.6443231105804443,2.0199050903320312,3.202583074569702
1.996829867362976,3.105422019958496,2.344799041748047,3.3017895221710205,2.574307918548584,1.9906021356582642,3.343890428543091
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.456268548965454,3.253131151199341,2.7079145908355713,3.3919312953948975,2.9250004291534424,2.296297788619995,3.336808919906616
2.132549524307251,5.291639804840088,2.531358242034912,5.997503280639648,2.7413711547851562,2.025977849960327,5.927644729614258
4.8619232177734375,6.901925563812256,5.723652362823486,7.104302406311035,6.16366720199585,4.488861560821533,7.024319171905518
4.2629714012146,7.109748363494873,5.5242156982421875,7.380547523498535,6.267928600311279,3.9123547077178955,7.221229076385498
2.650428295135498,6.240948677062988,4.440952777862549,6.947558403015137,4.741230487823486,2.491779088973999,6.693310737609863
1.2663586139678955,2.293430805206299,1.6017907857894897,2.48472261428833,1.6724711656570435,1.2739044427871704,2.6359288692474365
5.277405261993408,7.965796947479248,6.380207538604736,8.14058780670166,7.2162184715271,5.277029514312744,8.104120254516602
1.4221266508102417,2.3241467475891113,1.7758208513259888,2.5454275608062744,1.7531660795211792,1.29936683177948,2.5320041179656982
1.0907015800476074,1.9492696523666382,1.3934061527252197,2.1199593544006348,1.3583232164382935,1.0146905183792114,2.195051431655884
3.9290342330932617,6.578065872192383,4.886094570159912,7.021957874298096,5.395695209503174,2.7232606410980225,6.762902736663818
6.609038352966309,8.230570793151855,7.176743507385254,8.35608959197998,7.8951849937438965,6.402678966522217,8.330642700195312
1.3574135303497314,2.499499559402466,1.7558410167694092,2.7617347240448,1.7634189128875732,1.2821499109268188,2.8288004398345947
1.7329446077346802,2.891702890396118,2.200784683227539,5.274059772491455,2.315749406814575,1.665013313293457,5.398562431335449
5.12819766998291,7.9305243492126465,6.416317939758301,8.123281478881836,7.337594509124756,4.814257621765137,8.029610633850098
5.1013689041137695,7.568049430847168,6.1223859786987305,7.792934417724609,6.857951641082764,4.646716117858887,7.723843574523926
