Art-Son,Art-Alb,Art-Gen,Art-Pri,Art-Cop,Art-Tim,Art-Rel
2.093341588973999,2.411186695098877,3.2355635166168213,2.6240615844726562,3.112917184829712,2.091784715652466,3.268087863922119
2.232410430908203,2.538705825805664,3.4077160358428955,2.719252109527588,3.1147196292877197,2.055692672729492,3.3246524333953857
2.756943941116333,2.993983745574951,6.866885662078857,3.202000856399536,6.395334243774414,2.612476348876953,6.709596157073975
2.078162431716919,2.3751394748687744,3.0699310302734375,2.433596611022949,2.869485855102539,1.8554551601409912,2.9640610218048096
2.125871181488037,2.4332451820373535,3.251404047012329,2.64933443069458,3.124119281768799,2.117926836013794,3.2791740894317627
2.3909804821014404,2.654592275619507,3.445847988128662,2.860572099685669,3.255988597869873,2.3013758659362793,3.4227066040039062
2.7156248092651367,5.014536380767822,6.812797546386719,3.0834155082702637,6.365908145904541,2.5717949867248535,6.605301380157471
2.969599962234497,4.784139156341553,7.62856912612915,5.177915573120117,6.895689964294434,2.853099822998047,7.479134559631348
1.4761415719985962,1.8138011693954468,2.5748565196990967,1.8176308870315552,2.481393814086914,1.362162470817566,2.5740811824798584
1.0310055017471313,1.316142201423645,1.8839476108551025,1.2685701847076416,1.892179012298584,0.9468125104904175,1.912638783454895
1.0845118761062622,1.358097791671753,1.9939794540405273,1.3398844003677368,2.021130084991455,1.035909652709961,2.058650493621826
1.4809842109680176,1.7827882766723633,2.4751765727996826,1.7111600637435913,2.3377861976623535,1.2745543718338013,2.3630588054656982
2.3449761867523193,2.6441826820373535,5.712897300720215,2.92683744430542,5.545170307159424,2.2862775325775146,5.717426776885986
6.7516961097717285,7.37268590927124,8.570818901062012,8.124802589416504,8.232625007629395,6.5283122062683105,8.543256759643555
1.0213795900344849,1.2830522060394287,1.8789985179901123,1.3216725587844849,1.950691819190979,1.0017545223236084,1.980855941772461
1.666318416595459,3.209989070892334,4.993829250335693,2.2668299674987793,5.042898178100586,1.682537317276001,5.262521743774414
1.095060110092163,1.3918654918670654,2.0538723468780518,1.317270040512085,2.0073435306549072,0.9605085253715515,2.0495567321777344
5.789039611816406,6.5966315269470215,8.107004165649414,7.290745258331299,7.668888568878174,5.243721008300781,8.030494689941406
1.559494972229004,1.908553957939148,2.711866617202759,1.954929232597351,2.5863709449768066,1.4542773962020874,2.718179225921631
1.753585934638977,2.1111068725585938,2.9346094131469727,2.245944023132324,2.831876516342163,1.7252116203308105,2.987060546875
1.7288258075714111,2.1587162017822266,3.172163248062134,2.3594632148742676,4.8225860595703125,1.6870495080947876,3.2196455001831055
1.810637354850769,2.2255303859710693,3.2529184818267822,2.3954832553863525,5.005781173706055,1.7824947834014893,5.270272731781006
2.1966264247894287,2.5080983638763428,3.430961847305298,2.7673563957214355,3.230563163757324,2.1610562801361084,3.444355010986328
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.887284517288208,5.199504375457764,7.493039131164551,5.187150478363037,6.735987186431885,2.80757212638855,7.232057571411133
2.0155327320098877,2.3550918102264404,3.2919728755950928,2.592359781265259,3.1343424320220947,2.010974645614624,3.3260607719421387
4.684353828430176,5.666902542114258,7.290390968322754,6.149763584136963,6.8236470222473145,4.312091827392578,7.189883232116699
2.3047609329223633,2.576225757598877,3.330850601196289,2.646184206008911,3.100163221359253,2.0905916690826416,3.2308099269866943
5.295707702636719,6.433330059051514,8.50566291809082,7.521976947784424,7.982447147369385,5.346070289611816,8.472870826721191
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0050337314605713,1.2770878076553345,1.8256317377090454,1.2455894947052002,1.855839490890503,0.9309511184692383,1.8668129444122314
7.464627742767334,8.167325019836426,9.40044116973877,8.534443855285645,8.96279525756836,7.311107635498047,9.412358283996582
