,distance
0,1.6150779724121094
1,0.9388245940208435
2,0.1760924905538559
3,1.5226713418960571
4,0.31594544649124146
5,3.089337110519409
6,2.981278657913208
7,0.29899805784225464
8,3.3643927574157715
9,0.9290281534194946
10,1.1098357439041138
11,0.3032377064228058
12,1.2710446119308472
13,0.6600207686424255
14,1.3681340217590332
15,1.0333197116851807
16,0.9462074041366577
17,1.1704413890838623
18,1.1829053163528442
19,0.3086096942424774
20,4.914784908294678
21,4.498126029968262
22,0.4239366352558136
23,0.652978241443634
24,0.3022022843360901
25,0.5667523741722107
26,1.5671221017837524
27,2.0117945671081543
28,0.4193493723869324
29,1.1455292701721191
30,1.145204782485962
31,0.19627347588539124
32,3.460005044937134
33,1.0259437561035156
34,3.679259777069092
35,0.345651239156723
36,0.9838724732398987
37,1.1978785991668701
38,0.3197624087333679
39,1.0468488931655884
40,0.7370131015777588
41,1.1770697832107544
42,1.0131151676177979
43,0.2989981472492218
44,1.5662580728530884
45,3.193227529525757
46,0.23059360682964325
47,3.1914303302764893
48,0.19589480757713318
49,3.1176211833953857
50,1.107498288154602
51,0.16406700015068054
52,0.9768791198730469
53,1.2694748640060425
54,0.14091068506240845
55,1.8733066320419312
56,0.948283314704895
57,0.9402872920036316
58,0.29247966408729553
59,1.4183012247085571
60,4.158850193023682
61,1.8106096982955933
62,0.21124577522277832
63,1.2144581079483032
64,0.1929577738046646
65,1.026795506477356
66,1.04680597782135
67,0.3524925410747528
68,3.44036602973938
69,0.14091068506240845
70,2.832340717315674
71,0.21828748285770416
72,0.8384701013565063
73,1.5032618045806885
74,1.3652024269104004
75,3.1300337314605713
76,2.981278657913208
77,1.6167315244674683
78,1.2712453603744507
79,0.21604947745800018
80,0.17997625470161438
81,1.1829053163528442
82,0.21172897517681122
83,1.2555333375930786
84,1.2008922100067139
85,0.7015841007232666
86,1.626145362854004
87,0.738106906414032
88,1.0480989217758179
89,2.071134090423584
90,1.5528830289840698
91,1.776657223701477
92,2.981278657913208
93,0.2521473169326782
94,0.7370131611824036
95,0.3708283305168152
96,0.2350802719593048
97,3.158783197402954
98,1.8135489225387573
99,1.528849482536316
100,1.103359580039978
101,1.3623347282409668
102,1.0977997779846191
103,1.0164177417755127
104,1.2712453603744507
105,4.130443096160889
106,1.4723730087280273
107,1.2475742101669312
108,1.242712378501892
109,1.4261293411254883
110,0.25902271270751953
111,1.3834319114685059
112,1.4318722486495972
113,5.175477981567383
114,0.16761040687561035
115,3.219867706298828
116,3.1834018230438232
117,0.9551832675933838
118,1.54405677318573
119,0.11087120324373245
120,0.19980305433273315
121,1.3378154039382935
122,0.5504058599472046
123,1.3997350931167603
124,3.1898844242095947
125,0.22195442020893097
126,1.291451334953308
127,0.21591322124004364
128,3.8745028972625732
129,1.301213026046753
130,3.455423593521118
131,0.1607624590396881
132,1.3525171279907227
133,3.840147018432617
134,4.366213798522949
135,0.948283314704895
136,1.115359902381897
137,1.8135489225387573
138,2.9944357872009277
139,0.8859272599220276
140,1.1639634370803833
141,4.518226146697998
142,0.2482619285583496
143,1.5645537376403809
144,1.5274074077606201
145,1.195598840713501
146,1.3997350931167603
147,0.9603881239891052
148,3.1878790855407715
149,0.8859272599220276
150,3.4288883209228516
151,3.553333282470703
152,0.5390934944152832
153,0.38046860694885254
154,0.9759809970855713
155,0.12437310069799423
156,4.763692378997803
157,0.956317663192749
158,0.42495399713516235
159,0.8747912645339966
160,2.9722776412963867
161,1.8308910131454468
162,1.7061165571212769
163,1.1844959259033203
164,1.9367905855178833
165,0.6273438930511475
166,1.3081587553024292
167,1.4296307563781738
168,4.130443096160889
169,0.7370131611824036
170,4.01121711730957
171,1.4318722486495972
172,3.7552406787872314
173,1.3378260135650635
174,2.0115854740142822
175,0.25902271270751953
176,3.089337110519409
177,5.3577752113342285
178,3.7932558059692383
179,0.3708283305168152
180,1.3553141355514526
181,1.2484358549118042
182,1.3345082998275757
183,3.6553452014923096
184,2.981278657913208
185,1.330174207687378
186,0.9382573366165161
187,0.6655977964401245
188,0.18585006892681122
189,3.850785970687866
190,1.0479495525360107
191,0.1929577738046646
192,0.948283314704895
193,1.1725037097930908
194,4.6184186935424805
195,1.1717429161071777
196,0.36468908190727234
197,1.4723730087280273
198,1.181033730506897
199,0.21172897517681122
200,1.6372311115264893
201,1.1588214635849
202,0.3022022843360901
203,1.626145362854004
204,3.832298517227173
205,3.057018280029297
206,1.9460688829421997
207,1.467239499092102
208,0.25841569900512695
209,1.8135489225387573
210,1.0316238403320312
211,0.17997625470161438
212,1.1450583934783936
213,4.130443096160889
214,1.0335781574249268
215,3.1418635845184326
216,1.4261293411254883
217,1.42820143699646
218,1.5301321744918823
219,0.2660799026489258
220,1.2446768283843994
221,0.28658327460289
222,0.3763715326786041
223,0.3708283305168152
224,4.366213798522949
225,2.973618507385254
226,1.8223131895065308
227,5.088104248046875
228,3.8267128467559814
229,0.6273438930511475
230,0.32846659421920776
231,0.09485778212547302
232,1.2171006202697754
233,4.507671356201172
234,2.135606288909912
235,1.0137139558792114
236,1.103359580039978
237,2.3318817615509033
238,1.3361992835998535
239,1.6567678451538086
240,1.1463111639022827
241,1.384354829788208
242,1.8001357316970825
243,0.7370131611824036
244,0.14091068506240845
245,1.759509801864624
246,0.23970085382461548
247,3.1914305686950684
248,0.4290506839752197
249,1.7067910432815552
250,3.9033544063568115
251,0.38046860694885254
252,0.4335923492908478
253,2.1367623805999756
254,3.1932270526885986
255,0.6600207686424255
256,4.011373996734619
257,1.3134021759033203
258,0.34003862738609314
259,1.1516231298446655
260,3.144815444946289
261,1.626145362854004
262,0.23970085382461548
263,0.8941692113876343
264,0.49141934514045715
265,0.48953309655189514
266,0.36229586601257324
267,0.3022022843360901
268,0.2342660129070282
269,1.0333197116851807
270,1.4844967126846313
271,3.1932270526885986
272,0.4436285197734833
273,1.3282318115234375
274,0.8188484311103821
275,1.4261293411254883
276,0.14091068506240845
277,3.886951208114624
278,0.06596953421831131
279,0.9509657025337219
280,1.3309826850891113
281,0.7015841007232666
282,0.9598050713539124
283,1.5764589309692383
284,0.3893589377403259
285,0.6526161432266235
286,1.5668283700942993
287,4.341859340667725
288,0.23404406011104584
289,0.9905797243118286
290,1.6619813442230225
291,0.18257173895835876
292,0.3022022843360901
293,0.4193493723869324
294,0.16091158986091614
295,3.6553452014923096
296,0.1753169149160385
297,3.610568046569824
298,1.397751808166504
299,1.6150779724121094
300,0.9402872920036316
301,1.455125093460083
302,1.536091685295105
303,1.6478533744812012
304,4.857903480529785
305,1.7205123901367188
306,0.46774616837501526
307,1.5503759384155273
308,0.3124993145465851
309,0.9116144180297852
310,3.6553452014923096
311,0.520435631275177
312,4.161682605743408
313,1.1734755039215088
314,0.9763108491897583
315,1.0206584930419922
316,0.9647707939147949
317,4.498126029968262
318,0.9132995009422302
319,0.6236075758934021
