Beer_Name,Brew_Factory_Name,Style,ABV
4.600811004638672,4.651904106140137,6.065752029418945,5.555596351623535
1.3837347030639648,1.900309443473816,2.5343098640441895,1.9867674112319946
2.7579596042633057,2.7954139709472656,3.540163993835449,3.47540283203125
1.1778804063796997,1.1850817203521729,1.2263097763061523,1.2138398885726929
0.0,0.0,0.0,0.0
3.688326597213745,3.736154079437256,5.151297569274902,4.552522659301758
0.0,0.0,0.0,0.0
0.5712614059448242,0.5712613463401794,0.5712614059448242,0.5712613463401794
3.063917875289917,3.0886778831481934,4.452395915985107,4.363120079040527
0.0,0.0,0.0,0.0
7.475065231323242,7.565812587738037,9.111926078796387,9.308709144592285
0.0,0.0,0.0,0.0
1.2571709156036377,1.264224886894226,1.8402637243270874,1.800611972808838
3.014406681060791,3.0376551151275635,4.351356506347656,4.283340930938721
