Beer_Name,Brew_Factory_Name,Style,ABV,SampleID
262,179,231,144,204
195,231,248,173,423
16,19,77,243,180
173,19,231,77,253
115,196,248,231,25
16,19,77,173,432
217,231,231,144,141
26,231,77,231,195
90,262,231,231,22
262,11,231,67,429
262,196,248,144,3
262,231,248,217,400
16,262,77,231,407
173,11,231,62,633
115,19,77,26,82
173,11,77,77,163
262,24,249,67,48
11,24,217,144,602
217,262,231,77,166
11,262,231,231,596
262,24,77,231,249
16,11,231,62,34
262,231,231,144,37
152,173,248,152,44
262,19,231,77,581
262,231,77,262,369
67,11,231,231,93
16,11,77,70,43
262,19,231,231,140
173,24,231,144,453
173,19,77,70,72
262,70,231,231,564
16,19,231,231,182
67,11,231,231,446
173,19,231,231,250
16,65,231,231,1
254,19,217,231,81
26,19,77,144,73
26,19,65,231,620
16,65,77,231,63
90,168,248,262,202
173,231,77,231,198
67,19,231,231,59
115,262,77,231,209
67,11,77,70,38
16,11,77,231,394
11,19,217,231,629
16,24,248,231,199
90,179,231,231,136
262,10,248,144,438
217,24,248,179,70
262,168,248,255,97
90,231,231,121,565
90,196,248,144,58
16,11,77,70,75
26,24,77,231,123
267,10,248,144,624
90,19,231,231,247
195,262,77,231,450
16,19,231,62,201
16,262,248,243,375
16,11,231,70,28
16,11,231,62,242
26,152,231,144,24
16,19,77,231,434
